status,product_area,request_type,response,justification
escalated,interviews,product_issue,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is interviews for HackerRank. Reason: retrieval score 0.64 below confidence threshold.,"company kept as HackerRank. Request type=product_issue, product_area=interviews, status=escalated. Retrieval scores: 0.64, 0.61, 0.51. Decision reason: retrieval score 0.64 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/interviews/interview-settings/1151935613-using-virtual-lobby-in-hackerrank-interviews.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/interviews/interview-settings/1151935613-using-virtual-lobby-in-hackerrank-interviews.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,safeguards,bug,Frequently asked questions I’m trying to add Claude in Slack but it’s not working – help! We'd rather offer support when it's not needed than miss an opportunity to help someone who could use it. It’s important to note that: Helpline responders are not Anthropic employees. In-the-moment guidance: **They can help you work through overwhelming feelings and figure out next steps.,"company kept as Claude. Request type=bug, product_area=safeguards, status=replied. Retrieval scores: 0.78, 0.72, 0.71. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/safeguards/13171706-crisis-helpline-support-in-claude.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/connectors/pre-built-connectors/11506255-getting-started-with-claude-in-slack.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,settings,product_issue,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is skillup for HackerRank. Reason: retrieval score 0.56 below confidence threshold.,"company kept as HackerRank. Request type=product_issue, product_area=settings, status=escalated. Retrieval scores: 0.56, 0.56, 0.55. Decision reason: retrieval score 0.56 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/skillup/getting-started/3868789028-user-management.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/integrations/applicant-tracking-systems/teamtailor/6599779249-teamtailor---hackerrank-integration%3A-user-guide.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,settings,product_issue,"Prerequisites To use the **Pause Subscription** feature, ensure the following conditions are met: 1. You must have a **monthly subscription** for one of the following plans: Individual Monthly - Basic Interview Monthly How to Pause Your Subscription Follow these steps to pause your subscription: Access Subscription Settings** Click on the **profile icon** in the top-right corner of the page and select **Settings** from the dropdown menu. Initiate Pause Subscription** Click the **Cancel Plan** button. The UI will display a prompt about the new **Pause Subscription** feature.","company kept as HackerRank. Request type=product_issue, product_area=settings, status=replied. Retrieval scores: 1.00, 0.82, 0.66. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/settings/user-account-settings-and-preferences/5157311476-pause-subscription.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/settings/user-account-settings-and-preferences/3131912618-cancel-subscription.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,claude_code,bug,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is claude_code for Claude. Reason: critical platform availability or broad failure signal; retrieval score 0.69 below confidence threshold.,"company kept as Claude. Request type=bug, product_area=claude_code, status=escalated. Retrieval scores: 0.69, 0.68, 0.67. Decision reason: critical platform availability or broad failure signal; retrieval score 0.69 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude-code/11145838-using-claude-code-with-your-max-plan.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude-code/12618689-claude-code-on-the-web.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,general_support,product_issue,"Identity theft or possible fraud needs urgent specialist handling. I will escalate this to a human support specialist for review. The closest support area is general_support for Visa. Reason: sensitive account, identity, privacy, or security issue.","company kept as Visa. Request type=product_issue, product_area=general_support, status=escalated. Retrieval scores: 1.00, 0.97, 0.42. Decision reason: sensitive account, identity, privacy, or security issue. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,community,bug,Creating a resume with Resume Builder You can create a resume in one of the following ways: Build from scratch using a template. Creating a resume from scratch To create a resume from scratch: 1. Select **Resume Builder** from the dropdown menu. Creating a resume from an existing file To create a resume from an existing file: 1.,"company kept as HackerRank. Request type=bug, product_area=community, status=replied. Retrieval scores: 1.00, 1.00, 1.00. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/additional-resources/job-search-and-applications/9106957203-create-a-resume-with-resume-builder.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/additional-resources/job-search-and-applications/9106957203-create-a-resume-with-resume-builder.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,community,product_issue,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is community for HackerRank. Reason: account-specific action or refund requested.,"company kept as HackerRank. Request type=product_issue, product_area=community, status=escalated. Retrieval scores: 1.00, 1.00, 0.76. Decision reason: account-specific action or refund requested. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/certifications/8941367927-certifications-faqs.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/certifications/2077861863-download-certificate.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,dispute_resolution,product_issue,"To dispute a charge, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card. Download the dispute guidelines Responding to a dispute Provide accurate information, swiftly. Step 1: A cardholder disputes a transaction A cardholder contacts their issuer to question a charge on their billing statement. In many cases, your issuer or bank will require detailed information regarding the transaction before resolving the disputed charge.","company kept as Visa. Request type=product_issue, product_area=dispute_resolution, status=replied. Retrieval scores: 1.00, 0.98, 0.92. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/small-business/dispute-resolution.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,safeguards,product_issue,"Security vulnerability reports need specialized review. I will escalate this to a human support specialist for review. The closest support area is safeguards for Claude. Reason: sensitive account, identity, privacy, or security issue.","company kept as Claude. Request type=product_issue, product_area=safeguards, status=escalated. Retrieval scores: 1.00, 0.71, 0.66. Decision reason: sensitive account, identity, privacy, or security issue. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/safeguards/11427875-public-vulnerability-reporting.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude-code/11932705-automated-security-reviews-in-claude-code.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,privacy,product_issue,"Does Anthropic crawl data from the web, and how can site owners block the crawler?. Does Anthropic crawl data from the web, and how can site owners block the crawler? As part of our mission to build safe and reliable frontier systems and advance the field of responsible AI development, we’re sharing the principles by which we collect data as well as instructions on how to opt out of our crawling going forward: Our collection of data should be *transparent*. Anthropic’s Bots *respect anti-circumvention technologies *(e.g., we will not attempt to bypass CAPTCHAs for the sites we crawl.) To limit crawling activity, we support the non-standard Crawl-delay extension to robots.txt.","company kept as Claude. Request type=product_issue, product_area=privacy, status=replied. Retrieval scores: 1.00, 0.65, 0.62. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/privacy-and-legal/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude-in-chrome/12902446-claude-in-chrome-permissions-guide.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,travel_support,product_issue,"If you’re going to China On Your Trip Use your Visa payment card for extra peace of mind Using your Visa payment card when you travel is safer than carrying large amounts of cash. The website and freephone number (only free when dialling from within the USA) may be located on the front or back of your Visa card. If you need any further support, please call Visa using the drop-down menu above. To dispute a charge, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card.","company kept as Visa. Request type=product_issue, product_area=travel_support, status=replied. Retrieval scores: 0.92, 0.84, 0.81. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/consumer/travel-support.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,privacy,product_issue,"Your data is used solely to make Claude better for everyone - we do not use such personal data to contact people, build profiles about them, to try to sell or market anything to them, or to sell the information itself to any third party. Claude Free, Pro, and Max ( when using Claude Code with those accounts) and you have chosen to allow us to use your chats and coding sessions for model training, then any content you copy/paste from your Gmail or Calendar or Claude's responses which include specific information from these connectors may be used to improve our models. Claude Free, Pro, Max (and when using Claude Code with those accounts)).* How We Protect Your Data When You Help Improve Claude** When you allow us to use your chats or coding sessions to help improve Claude, we implement several layers of protection for your privacy. Export your organization's data Use Claude for PowerPoint","company kept as Claude. Request type=product_issue, product_area=privacy, status=replied. Retrieval scores: 1.00, 1.00, 0.93. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude/account-management/9450526-how-can-i-export-my-claude-data.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude/account-management/8325621-i-would-like-to-input-sensitive-data-into-my-chats-with-claude-who-can-view-my-conversations.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,settings,invalid,"I am sorry, this request is outside the support scope I can answer from the provided documentation.","company kept as HackerRank. Request type=invalid, product_area=settings, status=replied. Retrieval scores: 1.00, 1.00, 1.00. Decision reason: out of scope or unsafe request. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/settings/teams-management/2181136239-deleting-a-team.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/managing-tests/9552481360-deleting-a-test.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,general_support,product_issue,"I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is general_support for Visa. Reason: sensitive account, identity, privacy, or security issue; retrieval score 0.40 below confidence threshold.","company kept as Visa. Request type=product_issue, product_area=general_support, status=escalated. Retrieval scores: 0.40, 0.40, 0.32. Decision reason: sensitive account, identity, privacy, or security issue; retrieval score 0.40 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/index.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/consumer/visa-rules.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,amazon_bedrock,bug,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is pro_and_max_plans for Claude. Reason: critical platform availability or broad failure signal.,"company kept as Claude. Request type=bug, product_area=amazon_bedrock, status=escalated. Retrieval scores: 0.94, 0.91, 0.88. Decision reason: critical platform availability or broad failure signal. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/pro-and-max-plans/general/9519177-how-can-i-create-and-manage-projects.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/amazon-bedrock/10280791-what-aws-regions-are-claude-models-available-in-amazon-bedrock.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,settings,product_issue,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is skillup for HackerRank. Reason: account-specific action or refund requested; retrieval score 0.65 below confidence threshold.,"company kept as HackerRank. Request type=product_issue, product_area=settings, status=escalated. Retrieval scores: 0.65, 0.65, 0.60. Decision reason: account-specific action or refund requested; retrieval score 0.65 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/skillup/getting-started/4329363164-accessing-skillup-employer-platform.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/best-practice-guides/5269412517-mitigating-candidate-drop-off.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,claude_for_education,product_issue,Creating Claude LTI Developer Key in Canvas 1. **Key Name:** Claude LTI 2. Input the Client ID generated for your developer key (from Step 6 under Creating Claude LTI Developer Key in Canvas). Set up the Claude LTI in Canvas by Instructure.,"company kept as Claude. Request type=product_issue, product_area=claude_for_education, status=replied. Retrieval scores: 0.98, 0.72, 0.53. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude-for-education/11725453-set-up-the-claude-lti-in-canvas-by-instructure.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude-for-education/11725453-set-up-the-claude-lti-in-canvas-by-instructure.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,general_support,product_issue,"If you encounter an issue where a merchant has refused to accept your Visa card on the basis that the merchant requires a minimum or maximum amount on a Visa debit card, or requires that the purchase amount on a credit card is greater than US\$10, please notify your Visa card issuer. Can a merchant set a maximum or minimum limit for using my Visa card? In those locations, and only for credit cards, a merchant may require a minimum transaction amount of US\$10. Read the Visa Core Rules and Visa Product and Service Rules Read the Merchant Data Standards Manual File an inquiry Report an in-store purchase issue Use this online form to report a problem you had when trying to use your Visa card.","company kept as Visa. Request type=product_issue, product_area=general_support, status=replied. Retrieval scores: 1.00, 1.00, 1.00. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/consumer/visa-rules.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support.md. Label comparison: llm unavailable; used TF-IDF labels."
